title,date,link,source,sentiment
2. Publics around the world follow national and local news more closely than international - Pew Research Center,2018-01-11 08:00:00,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQMm51cmF6VGRwTEdrZFdWM1dJOFF5bnhCUVFnZkVrNEZPWlUtT3Rmek9rVUxOQ3FrNzdzdlp5VWN5YjJpMmZVMFRqSkpLdmotVERjQ0tmRFhkajd3eEMxNkU1VlFWNmVEUjdqWWRkNnlwcjdEOGIwdDV2UWVXTHoyZHhXTG9YMWEyMTdBaWQtWVNabUJWeFB3bkItRk5wWThrOXhtU0lVUEhScWVEcDExUzB4cjY0QkRkbXZpS2pJMDliWG9wbHNPajg1UXZUaWRkY1ozbw?oc=5&hl=en-US&gl=US&ceid=US:en,Pew Research Center,0.0
U.S. News & World Report: Freshmen are ‘eager’ to attend UL Lafayette - University of Louisiana at Lafayette,2018-01-25 08:00:00,https://news.google.com/rss/articles/CBMijwFBVV95cUxOd1lIcFB3UGtLMGlsQ0lhTHY3WTI1SnVWbGEtRzF0ZjVUTUNZYXJLaC00REZpLWJXY2R3dlBiOTVWbV9QN0NpbGRwRWVydkNWMEwtT29Pb3Rxd0haRlBFV0o4X3o5ZUgxei03R0g5cjdFYktuY3lRNGU5dFJKVVdNdVFrdWxtLXZCazVibTZwbw?oc=5&hl=en-US&gl=US&ceid=US:en,University of Louisiana at Lafayette,0.0
My year of living ignorantly: I entered a news blackout the day Trump was elected - The Guardian,2018-01-19 08:00:00,https://news.google.com/rss/articles/CBMizgFBVV95cUxORVd3SDd0aW5xV2JJaGU4bkhxcEZWYl9jejdCTGVBdnlmRzBTOWJMb2tzWktHWDNMamF1V2pvaE9VNGlnSlBxUjlKWHB0eHduYkpXSHh2cFhFb215dzZmeEFWSXNRWlFEOTRndER4X29DRDBNaW1lcjdaNnh5MDJILTNvb2lFSnBSSEJOeTFlMVFuRFRja2VRNmZXQm9JZ0picjBXdGsyMHI2eWU3ZUxQSmpYdFd5cXpFd0t6SGF3Rk5XNFJaZXFmbTEwUHFpQQ?oc=5&hl=en-US&gl=US&ceid=US:en,The Guardian,-0.3818
Don’t expect ‘fake news’ to disappear in 2018 - Northeastern Global News,2018-01-02 08:00:00,https://news.google.com/rss/articles/CBMijAFBVV95cUxPYVlNdXg4bTdMQ2JyVkxyM0xnRGgtRzdSb0FXSktOVjF5bU90SXZfUTdrNFpGWVRpOGNWZFhCUzcwVXFnZWtFX19xY0RFdGJQbUNPM2J2cEtZMElxNW5ZbV8zbm5RMll0T0tWNnAzVkVuN3lXSF8zOHhiQnZNREVlRWVLWjRaeWFfS1dfbQ?oc=5&hl=en-US&gl=US&ceid=US:en,Northeastern Global News,-0.2263
DASH ranked Best Diet Overall for eighth year in a row by U.S. News and World Report - National Institutes of Health (NIH) (.gov),2018-01-03 08:00:00,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNWXVwU2JYNXNsRm05QXZNYWhGMGlMRHJKWndOTDJ5eFN0Yk44dFNhdFdjWWJYcGcwQ0ptU1dPX2lxT0xmWWdIUlNsODRTNlZtSm1VbE9DeFU2S1BPOVFZdnlkZVczYkZyWWN4cG9MRHhUdnd4Y01oalF1RmVFSVlhMnQ2bmlsMTB4eWFFNVpqdnNSYUcyUHJVNUN4bm9CMzZOaDdIUXAyQVlHZw?oc=5&hl=en-US&gl=US&ceid=US:en,National Institutes of Health (NIH) (.gov),0.6369
UN Environment and WHO agree to major collaboration on environmental health risks - World Health Organization (WHO),2018-01-10 08:00:00,https://news.google.com/rss/articles/CBMivwFBVV95cUxPZnBSWlZiZFNVNGhtZXc0WU1CNjlLa21FQVh4QTFnV3FRd01jRUI4blI1M2lRSUY1S2paS3kyd1RuckJUNm9wUk1HQklSYWhXeWpSQlEwS1NmdFhtZDFvSDRSTzZCNGJrYW9mVTMyM2JnTXp0cU9IS0UzOW1pdTVGM2dQMUo2dHBCVjZmRHFPcmNLZklldWdmaDNab1JRcXYySWZiTUstZ1hMOUNQUGM3UVRtZFhtVFN6Y0JXVmIyWQ?oc=5&hl=en-US&gl=US&ceid=US:en,World Health Organization (WHO),0.1027
Eddie Adams' iconic Vietnam War photo: What happened next - BBC,2018-01-29 08:00:00,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9TbEFNbENZMkRweFBoQ3VhQm5JRngxTTNDV1ExY1JvWFRTckRUVEN1X1IxTFdNazFhT3ZOOVBhN21oM3Fvcnp4N0FKY0VmLTBtYWN0cFdvOXhjQ21BQVHSAWNBVV95cUxNUXBISFVoLUpMQnNyeTk2eHZNSDRnWUNSeHdtLXJ0M2FnOFRLX3FhUjRYd0s3aWxlTlUtcmhNMzhzb1l4Q05jNHFMdkZRZm9kbjFLUEV1WlgyOHJnTk1JNGhmUjQ?oc=5&hl=en-US&gl=US&ceid=US:en,BBC,-0.5994
Donald Trump's Speech At World Economic Forum In Davos: Highlights - NDTV,2018-01-26 08:00:00,https://news.google.com/rss/articles/CBMiuwFBVV95cUxObzhzb25FTzNUVk1ubU83bG5Dd01Yb1gwcUtMUmptcUpPNmljdWU1NUlmeE5lS2U4ZXl4LWg1MFRxSi1kLWY1cU5CYVh0YkNSZndhNjFia080bm1GQTg5OWZpbU1vWDBWNXJOcnRoMEJHQ202YkN0TFR1aUg3ams4WHR4VEZjcEQ5elZrOW9NRTc5RV9ZMG5HbE5nSkY2cVlTUUhhcDdibmJ0aEg2aDBELVdLZTRIeGlyamdZ?oc=5&hl=en-US&gl=US&ceid=US:en,NDTV,0.0
Moving beyond GDP to look at the world through the lens of wealth - World Bank,2018-01-30 08:00:00,https://news.google.com/rss/articles/CBMiugFBVV95cUxPUjdyeGVjdi1Gb0RjMmFpZzZRNlJaTm5PU20wZzhYanRTN1hMa1lZdzFwNEtOclJMc0lRX2trbkIxUnhraW9MMHpFRVgtekJnYk41YTBRdVVrMlJhTzJIcVp1S3FCSXByWFRqejBHeThwUmZGdkZuSXRmVmFqaFJ5Um9fQkg5cFFkOTNaTUIxMHdQX08zUjFEZ0tyNWNWc0VpTWJDVkk2eWh0MEc5NUszYldpYzFHVFZHV0E?oc=5&hl=en-US&gl=US&ceid=US:en,World Bank,0.4939
Trump referred to Haiti and African nations as 'shithole' countries - NBC News,2018-01-12 08:00:00,https://news.google.com/rss/articles/CBMirAFBVV95cUxPTUo4NGh2UHRDRHBuckZ5UVVaWmhhQXVhSDNZVEdHOVJlcnlMeU1nUGdseEdvNE5YVkhyTkFkd0FaNUhzUVdqNndnLW8ySHdyZ1VHbzVkb2U1TXNfdG4ySktWQ3hSa2RNR1lMMVpiOG80U1lWeUh1X044R1FzT0hvX2phRFhURldVSHo5TmZvTC1UVzBST2pFb3dULXFOa1BiMjNwMEhid0JMRmlS0gFWQVVfeXFMTVlQeE5XWDVHeTFrZVIxZ09HaEtWLU9fajFyZHh2ZGZaRno5N3ZoNFFwUHk5TzNITV9NaUl6S3oxcG0wQnRWaXVGMVBkbTVVVkVWY1YzdWc?oc=5&hl=en-US&gl=US&ceid=US:en,NBC News,0.0
China's new engagement with the developing world - MIT News,2018-01-31 08:00:00,https://news.google.com/rss/articles/CBMitgFBVV95cUxQQUM3Vll4REdyNWY3bk00VWFaVHgwVV9TSGwtWWtmcnpBS0RqLVhLSm5BZkFpcVJNVzJwYmlHODFhc2hOSHpXSmlOQVpCSzBxNXhxN3VnbWlGejd3T2JjalF6WFVrUEoyc3NGLVdjV2VXbS1wZUdXM096aVlQRTJPRFVOQWxEb3FaUHV0cE9NdEZTaFY3T1pKUWM1RW5rSGczNTlVQmdCR25IQnduYXVQc1VBZ2R3QQ?oc=5&hl=en-US&gl=US&ceid=US:en,MIT News,0.4588
"Publics Globally Want Unbiased News Coverage, but Are Divided on Whether Their News Media Deliver - Pew Research Center",2018-01-11 08:00:00,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNM3VYSlpXbmJReVRLVnBZQmM1aHNHS1B1NHFRSzN6ZFJLNFBoOXBoVG9DWEZTb3dzcWU2VEtQanZVN3RVNjVSZ2F3Zk9mRjVEdWF5aF92WW5lVV9fY0kydzh4NXJMcGFuNTZEdHRwZFNyc21DelNLeHlxdGdTZ0gzU29Jb2RQR2diaUJicElkNE5mZGFvTjNVRzVmcVl0R0g1eFJUaWFqMF9iRzgtS2JOeXRDVFNxbEZycTI1bF9XNmR0XzZNVHFsaXlkeVFOcTBXVTNKQTk1dEl3TWV3VlRzdA?oc=5&hl=en-US&gl=US&ceid=US:en,Pew Research Center,0.0258
The missing - consequences of Trump's immigration crackdown - BBC,2018-01-14 08:00:00,https://news.google.com/rss/articles/CBMiYkFVX3lxTE1xaENrOVhQU2xmM3JhaDIwcmFqZzF0dnE5cnpxVlBOMnd0V1lhZlY1U29TRGstT1ZUY3k4eWRyaHdzd1NIYWY4dDVnd1dib2s5Y0dDa0h4cWRBV1RCT2RJM1VR?oc=5&hl=en-US&gl=US&ceid=US:en,BBC,-0.296
