title,date,link,source,sentiment
"Dr. Simon Adams interviewed on BBC World News regarding developments in Myanmar, 4 March 2021 - Global Centre for the Responsibility to Protect",2021-03-04 08:00:00,https://news.google.com/rss/articles/CBMixwFBVV95cUxPaWJyckpKMjVERFRaeUtfYXU0VU9FbFE3bzAxdzgxUmxqR0taVURGZWlsNXY5RDd1MHBmNVNVWGpQaTV3bjRaMDkxRGFBRVVSeU9XOGZIQjV0bjlKR1hZeFRoQUFQTU1fZ2JGbnZMT1Q2VXp6RWE3bGNyY1YwQTIzcXFRUzR3ckQzeXh4Q0J3ZDR3cFJSZVRNUWVuaDNWZkFSZ3hEX2xSWFVKUDVXeEdET0x6dnZKT21zRWFnU2h3MVBtbC1udktj?oc=5&hl=en-US&gl=US&ceid=US:en,Global Centre for the Responsibility to Protect,0.3818
Video History of the World News Now polka - ABC News,2021-01-06 08:00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxOajYwTXlnMUZiWWNJUlJ1YnoyLTc2a3NpUHhuU1Itd0Vld3dtcWlQcUF3OHVick5Ba25xSlBWQkJGc2o3ZUxyRHlWN3k0dWFDbW93WGhYV2tOX3gwMGREZHEtR2Vudy1kNzc2VGR0UWJTc2VOTllva01JeW9CX0VkVUxDdzhIYVZaLS1oU0EyQ2otQW9RYjRLMjN2NGMzdEtxd0dncw?oc=5&hl=en-US&gl=US&ceid=US:en,ABC News,0.0
World Inequality Report 2022 - WID - World Inequality Database,2021-12-07 08:00:00,https://news.google.com/rss/articles/CBMibEFVX3lxTE5LZlNuQjltREpQemZKRDRHd3BlZnJhdnhMcnNfb1ZLdE5VUmR5WS0yVWgwZGV2elY0VGlFWjhzSVRDWWNCWXdTQVFRbU5famJfUFd5SHNSb2NMbDlTYzUtOXpsem1EVmwwcEliQQ?oc=5&hl=en-US&gl=US&ceid=US:en,WID - World Inequality Database,0.0
WHO recommends groundbreaking malaria vaccine for children at risk - World Health Organization (WHO),2021-10-06 07:00:00,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWndoOVNPSnRvaGtPX3MyVTA0NGpNYUhfLVNWYncwWlotVkthXzJ3ZkR0T3VPT3RTOUpJZkxlZlBoLXFlUkpJc2tyVDhqcUx6MmNmNGhPbGZ5cGtrby1FdFc1MFlzQ25WQ2tlVDN2X3cycEJpT3NMNDlpYW1qN1RsemdkRFczaHAzeWlIMmF2Szl2UzZnUElaSl9YTEFLYTBZWGZPUFhETTZNLWM?oc=5&hl=en-US&gl=US&ceid=US:en,World Health Organization (WHO),-0.0516
ODU Ranked Among Top Universities by U.S. News & World Report - Old Dominion University,2021-09-13 07:00:00,https://news.google.com/rss/articles/CBMiigFBVV95cUxNWTlBeGd2SkR6X2wtQjg0dVkyWDB6cDluOVRBcFkxSjRNbnUtdEVDbDFCN3hBRjlYR1Q0cWF5bEljeUZ4UWRyNkJUZi0xd2pqbEpwRG9DN18teE12VE9Lb2RPeTU2c2prZEZtWWtUNTNxdXdlQzI0OHJ5dHVfVlAtcGM3S2Q3VGZvc2c?oc=5&hl=en-US&gl=US&ceid=US:en,Old Dominion University,0.2023
News of the World: 10 years since phone-hacking scandal brought down tabloid - The Guardian,2021-07-10 07:00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxPREtNbFZ2TmlKcmhpY3FwdHpmZ1FnbGE5eDlSWWpFczFJZ09OaTlDYzFzOVZJd1NyeHdtdWM5eWdEZE9tZy1GNnRkZm12ZWlmVjRpR3hzRDhwTURHdV85X2o4NGl5Y1lEZG03T3h5ajcxaVdVektEQm4wR1JIeVpVUXRSdTdRTERnV0lRV2p0bmRta1VwRURYVGZPU21aanJYSURDNm04N3NKQ1NGSUZ2N1BURnBaYzIwZjRDWlZR?oc=5&hl=en-US&gl=US&ceid=US:en,The Guardian,-0.4404
New World Update 1.0.2 - News | Official New World: Aeternum Website - newworld.com,2021-10-12 07:00:00,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9xbWhMYl80Q29yNzdUZVNBOERtOTZLQm5iYzlPTWducVlndEZrOUJRWHpWTWNQWmF4bDhfZmxqTjMtSzRKbnozUFF5bUJSZWtZVUllRVA3XzIzZXV0eHNRZmdON0FIdW5J?oc=5&hl=en-US&gl=US&ceid=US:en,newworld.com,0.0
"Kenneth Moton Leaves World News Now and America This Morning for D.C. Bureau, Andrew Dymburt Named His Replacement - Adweek",2021-05-11 07:00:00,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOMUxhWjNVMDFSLVVzeXB4YnhJb1BjRUdOVGNIQ3ljdl9VZjd1RTRVQ3habDVCajRrTzBCSjVwa3lILUFLbGx4ekFHWGRZNUltdk9Fb1lvNno0aU12ckw2Z2M1cG4yekZIUUFVWUxoSlBPQnF2Z253YzJIMVRUZXJXYWVDZXdLcExDWHVYdldKNzhjZGJtMlU0VFozZ2lWZzR4Y3RYQktTMUhXak5IMnZoa3d2QU1MT2liWHROOG12aTk4VVBwcFNfeXltVU40Y2hISkU5UXdSQ2dxSWhUNnc?oc=5&hl=en-US&gl=US&ceid=US:en,Adweek,0.0
"Covid: Serious failures in WHO and global response, report finds - BBC",2021-05-12 07:00:00,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1xVl9xSkpCVF8wbUZOelRqbXNVSWZqaGNBdFJVU0JLOWY4anpxVnZ3TUNQTVYwTU5hR2hXaWdKSTU4bS1uSnhpQzhYVnZLYW940gFWQVVfeXFMTVJQMTJBengtUktsVHEwaWpLV0c0NjNPR05lZ2hvcDVEajFFWWJsSHVpYXNiUG9XaE9oNUJ3QTBHd2JaYWZqbkVBVWJOcnhoVk1Fa19yUlE?oc=5&hl=en-US&gl=US&ceid=US:en,BBC,-0.5106
Update on Omicron - World Health Organization (WHO),2021-11-28 08:00:00,https://news.google.com/rss/articles/CBMiakFVX3lxTE9KQTdmbUx6SzRHVDZYWlJhVWhNN1E0R2JYV1EwdjMwQzY0THdlOUpvWk03X1RFQVJXRU1uM0Y3b1AwV0xCOEd0YXhYaE9OT0hMdV9aWTBfQnlpYlZ3anF3Z3NjZEU5d2RTOWc?oc=5&hl=en-US&gl=US&ceid=US:en,World Health Organization (WHO),0.0
"Dr. Simon Adams interviewed on BBC World News regarding the situation in Myanmar, 15 March 2021 - Global Centre for the Responsibility to Protect",2021-03-15 07:00:00,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOc0d0V0lmc00xd3BqOUtsVVpQWkcyc3YwWjFaVjVHdVd3R0tFX0ZlOGFBeGhfVXBmY2p5UjB2QkJFWTRTRjU3N1F3VDlESndMRThJc1pOUVkxYnpnNnN2V0hOQ29YYlhxU29aM2dJb3BBR3ZmVjZ6ZzZxYlJabnR3ODRmUFIxMEFqVUlQME5UanMtc3ZfbGpvNDlfeDZBNk5hQ19PVkZwa3d0aUZMQzRpY2RpcWtHM0plYmJEMFA1U2dCV0E?oc=5&hl=en-US&gl=US&ceid=US:en,Global Centre for the Responsibility to Protect,0.3818
Classification of Omicron (B.1.1.529): SARS-CoV-2 Variant of Concern - World Health Organization (WHO),2021-11-26 08:00:00,https://news.google.com/rss/articles/CBMirAFBVV95cUxQVWxJSnI3Q0gwRG1YUUo2VzF4QjZTY3BXcl9iT3RHTG1iSzdiTmxBQUdqbGg3bFh3Z2YxYmVSZTVZQl9WMmdvbFpRelFtUXRGblcyU05EbmhZZDFQdVpoOVZnTUtMd2kybjFLcHV0ZlUzZjZveDNkQ2V2SGczZXFwMXlXRkR2ZG5nWjg2TUVvNG51QXAzTk5UTEhjaUpXcUlFbmRuTnlqdWh6dkwt?oc=5&hl=en-US&gl=US&ceid=US:en,World Health Organization (WHO),0.0
