title,date,link,source,sentiment
News of the World: 10 years since phone-hacking scandal brought down tabloid - The Guardian,2021-07-10 07:00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxPREtNbFZ2TmlKcmhpY3FwdHpmZ1FnbGE5eDlSWWpFczFJZ09OaTlDYzFzOVZJd1NyeHdtdWM5eWdEZE9tZy1GNnRkZm12ZWlmVjRpR3hzRDhwTURHdV85X2o4NGl5Y1lEZG03T3h5ajcxaVdVektEQm4wR1JIeVpVUXRSdTdRTERnV0lRV2p0bmRta1VwRURYVGZPU21aanJYSURDNm04N3NKQ1NGSUZ2N1BURnBaYzIwZjRDWlZR?oc=5&hl=en-US&gl=US&ceid=US:en,The Guardian,-0.4404
UN report: Pandemic year marked by spike in world hunger - World Health Organization (WHO),2021-07-12 07:00:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxORGxoM0pNeDFSTjVadkR3bDFrN01KSEtUdHFRSEVpRTFZMU5pMzdZNFRNTkViRndadk5kS0RtNFUzWTg5dWJfLTIwcDdtQWM3RWhMdWlWSXdFdFFxdVBDaFd5V0VaaTZHNHZmTEhVVnIxb2lCckxXeHpLY3BEcDhTT1lOM1dPVUZORm56RnhuclZkMHhTcXNCdlhrWE8?oc=5&hl=en-US&gl=US&ceid=US:en,World Health Organization (WHO),-0.25
Atrium Health Earns Multiple U.S. News & World Report Honors Including Top Hospital in Charlotte and Best in Rehabilitation - Atrium Health,2021-07-27 07:00:00,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPLXBocDNzN3RaNEFNZUY2Ml9KdWtNZmI3c1Y0bVdGS29XdGxiaXlIRlFOWDFzV2VnWHpESEprOU9tS3o3MVNxaS1UM3BoUkx3THR0bjBZZUpNTkVTZDI1QzcwNW4wNDdqZ3pPcVRPME8yU3FGeVk5cWNtdUJpbDFZYlFxYkYxUThUVGdudE5RMXk5RW1kRjdWTlBJanZ5Ulh0cUJhODd2VEQxUGQwNGxnU3NhenJwNmZDclJ0cFJhV0V2aUhSRDhTUEdzbXJ6aXRBTkhUeTB1Xy1YUWVmVkcwTlpza3ltTU9Ranc?oc=5&hl=en-US&gl=US&ceid=US:en,Atrium Health,0.8519
News & Regulatory Filings - World Shipping Council,2021-07-02 21:08:59,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9HTE1GRzhwQTFaYWlJamRVU1FrZ21Od3ZXWjVxNjRSOHo0N0s4TmtfWXRrWDNqX1UweE9hREFhMjZoeEp2VlE0eWtTd1F5M0k?oc=5&hl=en-US&gl=US&ceid=US:en,World Shipping Council,0.0
World News Alerts - The Washington Post,2021-07-01 12:42:08,https://news.google.com/rss/articles/CBMibkFVX3lxTFBjT0VYSUtuN2M2a0h1d1Rxa2VIV1dGY3pBS3h1S3FSMnMxQWctc2Y5UzZJT2tINUJDVnU1QmtiaHJ0bHZiREFNWkVseXJDMGVCMzN6N3lKdnNBUmdGajFZWXQycXVqb2lTQnE2dGRR?oc=5&hl=en-US&gl=US&ceid=US:en,The Washington Post,0.0
"Walking the talk of diversity, equity and inclusion in HE - University World News",2021-07-10 07:00:00,https://news.google.com/rss/articles/CBMid0FVX3lxTE9Pakk3WVJId0Q0eUdfd0NxRzRpNFBJbk55c1N1bW91SHRvWUMxeVR4RnNtOEkzYU1jN21DNmNUSlhtVGdmMUNrb3JWa0NOSnIxUU9ZelNhTVB4Rk5rSmlzSUg5NHlKVVV6UEpONE41dDI1U0hRY0dR?oc=5&hl=en-US&gl=US&ceid=US:en,University World News,0.0
Boulder Named Best Place to Live in Nation by US News & World Report - City of Boulder (.gov),2021-07-13 07:00:00,https://news.google.com/rss/articles/CBMilAFBVV95cUxNSGt2S0FGLXA5Tk40a2ZjVkhzR3kxTUc0b05lcG1aNTB3Y3hiOFRfZG03V1AtREhBVHlSZnBhY29pMDM2dHRpLXo4cFhmSjkwT19XNURabzFxTDM3a2ZBU1NWcGw1bTlvOXNHek93THRNanlneUhtbWcydjhfTnMwR2d4SzZwa3hRQ1JWU0JmXzJYbWxq?oc=5&hl=en-US&gl=US&ceid=US:en,City of Boulder (.gov),0.6369
Sarasota named among 10 best places to live by US News & World Report - Sarasota Herald-Tribune,2021-07-13 07:00:00,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNNUlOdU95bDlPNzJQdmJSQjZTMVdUWmgxUU9OVzQtVmF3UmxFY2g1TWNzd1JYUWRHU0I3N1NwbTZSWExYMGktd2hOU013R0doN01ZTThndnh3dU8zbkdtNmFZVGozemY5WEpWYXdBWUREUmdydXVEb2Y5MUZmVU9JUmU1ZkhMVkJrRmNHeEZEX0JPcm90ZGdYZzhrZDJ0emVyZTVWS0ZOUG90bm1DZGE4bGk3QUZYWGJyMVBHY0NOU3NSZEVkeldPZUx3TDVhSmwz?oc=5&hl=en-US&gl=US&ceid=US:en,Sarasota Herald-Tribune,0.6369
Mayo Clinic ranked No. 1 hospital in the nation by U.S. News & World Report - Mayo Clinic News Network,2021-07-27 07:00:00,https://news.google.com/rss/articles/CBMivwFBVV95cUxPclJBS3JFYWJsMnpCaThSbFRWcENZZ212TGxnZ1p2Vl9pMDg5b0xBeDdzQmc4eWVJUWJCZFpiU3A5cUh6b0ctM3h1RWFEZHVzWjdYUE1SdVk1ejlNUjk5amQ3aEt0MzdzamJXVXd2M08tcHdMZnp6UGZkRzJEVURwdkVxUkd4cGhtbUY2RHZYbFozeWFkS2IzLXpRNU9pMlZseDBJNFNOaml2SnJPdG1NNzFlQ2o2aXFfakJueVI2Yw?oc=5&hl=en-US&gl=US&ceid=US:en,Mayo Clinic News Network,-0.296
Haiti President Jovenel Moïse killed in attack at home - BBC,2021-07-07 07:00:00,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9HNEZvS3RYTklQd01xSFJHMnhqTkhzUm8wRzZDSjJPcUdRVTNDSEJLcHlPVXJ0cFFaYVIyUXlLOHJnVmprNzNQMlg4X0hZcDVpR0xKVmNTR25fSWJ2dnktMmNxRdIBaEFVX3lxTE9ndnhueEpKN3VuajltYVRsRVdCZV9MM2dsM3NSUW5rWVZZSmtTMEZ5MjJjNndEWmJ3VUtTaDJlczViQzBDVjhnbzhaMzBpRlBhRUlrLTE4Tkl6RHFFbHRfZlh1RmR1NG9o?oc=5&hl=en-US&gl=US&ceid=US:en,BBC,-0.8225
